LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
YO9WTVCW55,60,69794,155795,312,20,4,8.91,24,0.17,PhD,Unemployed,Single,No,No,Other,No,0
0JB0WOH34U,60,67237,232974,600,93,1,11.07,36,0.18,High School,Part-time,Single,Yes,No,Business,No,0
2Y8UC0TLLL,41,18797,123688,669,0,2,13.96,36,0.23,Master's,Unemployed,Divorced,No,Yes,Business,Yes,0
QSSVOI8YVS,18,21295,228303,559,27,2,5.01,12,0.71,PhD,Self-employed,Divorced,Yes,No,Education,Yes,0
2QEOS929X7,44,142575,147022,320,66,3,7.34,24,0.37,High School,Part-time,Divorced,No,Yes,Home,No,0
ERO5LU12WA,63,80484,113833,485,97,4,10.82,12,0.18,High School,Full-time,Divorced,Yes,Yes,Home,Yes,0
R25EJYOP1I,21,147014,206266,529,44,3,3.96,24,0.28,PhD,Unemployed,Divorced,Yes,No,Other,Yes,0
4JQ2RE99NA,61,120413,105903,808,117,4,4.17,60,0.66,High School,Self-employed,Married,Yes,No,Home,No,0
GWLFIZS0LB,47,137377,198078,743,16,3,8.76,12,0.77,Master's,Unemployed,Divorced,No,Yes,Business,Yes,0
DUHEJQXVX8,22,98908,81669,456,48,1,18.89,48,0.44,Bachelor's,Unemployed,Single,Yes,No,Business,Yes,0
CTCWZ05YQA,47,98015,75276,418,40,1,16.81,60,0.14,High School,Unemployed,Divorced,Yes,Yes,Home,No,1
BR16FYICDY,69,55735,15866,624,115,3,5.22,12,0.54,High School,Self-employed,Single,No,Yes,Home,No,0
30L3APEA5J,33,141154,75955,425,30,3,4.78,36,0.84,PhD,Full-time,Divorced,Yes,Yes,Home,No,0
LPGNQY394V,24,123097,154827,645,53,1,20.43,36,0.62,Master's,Full-time,Divorced,No,No,Other,Yes,1
5KFX611HU9,67,95009,207692,413,44,4,18.72,24,0.31,High School,Unemployed,Single,No,No,Home,Yes,0
UHRB9MUZRL,64,119596,215134,730,58,2,15.27,36,0.25,Master's,Self-employed,Married,Yes,Yes,Education,No,0
GPKFOPL0FQ,35,45128,49342,787,2,2,5.85,12,0.26,Master's,Self-employed,Married,No,Yes,Education,No,0
CHYPYX2SET,25,52661,152393,785,40,4,14.63,36,0.62,PhD,Self-employed,Divorced,Yes,Yes,Other,No,0
C3AI7NJ9KM,49,77450,32844,833,40,2,4.03,60,0.44,High School,Unemployed,Divorced,Yes,No,Education,Yes,0
D0ACZNHQSA,29,60582,209330,392,40,3,19.26,24,0.65,Bachelor's,Part-time,Single,Yes,No,Other,No,0
MOO32VDE4Q,49,88805,246297,516,71,3,19.93,48,0.58,PhD,Unemployed,Married,No,Yes,Business,No,0
OSVV4B4BKE,25,95091,199481,496,25,1,20.29,24,0.58,Bachelor's,Unemployed,Single,Yes,No,Auto,No,0
LO07DNAZGC,69,50735,19871,637,12,1,23.55,48,0.33,PhD,Self-employed,Single,No,Yes,Other,Yes,0
V93GBOFWH6,51,49158,113116,483,86,2,4.93,48,0.12,PhD,Part-time,Single,Yes,Yes,Other,Yes,0
FKIYGMCM2U,61,89507,199171,656,19,1,14.84,24,0.8,Bachelor's,Part-time,Married,Yes,Yes,Auto,No,0
VLANATVSZ0,44,129000,185944,434,83,1,14.98,36,0.84,PhD,Self-employed,Divorced,Yes,No,Education,Yes,0
AX8BLI8A5Y,33,138341,150548,448,77,2,15.85,36,0.68,Master's,Unemployed,Married,Yes,Yes,Other,No,1
XOBDEFJ2GG,21,26255,81879,485,55,2,13.33,12,0.78,Bachelor's,Self-employed,Divorced,No,No,Home,Yes,1
SZ2Z2ZHWOI,30,76371,170400,407,50,1,6.15,60,0.64,High School,Full-time,Divorced,Yes,Yes,Home,No,0
M6EPIJMCRP,20,52785,216861,744,21,2,5.72,48,0.38,High School,Full-time,Single,No,Yes,Business,No,0
N19IYXHJG0,55,49370,158883,837,118,4,4.71,60,0.56,PhD,Full-time,Single,Yes,No,Other,No,0
KN47RC4H68,59,16438,112542,822,12,2,13.31,60,0.72,Bachelor's,Part-time,Single,No,No,Home,No,0
96VJO1MA5X,18,22278,247857,635,5,1,20.42,48,0.84,PhD,Part-time,Married,No,Yes,Home,Yes,1
6GEQ5EG0ZX,18,110720,107163,466,31,2,20.78,36,0.63,PhD,Self-employed,Single,Yes,Yes,Education,Yes,0
CA6TOOLGB4,42,148517,20341,430,106,1,2.81,12,0.35,Master's,Part-time,Married,No,Yes,Other,Yes,0
61CJ7Q10KM,41,68134,108542,405,101,3,23.17,12,0.42,Master's,Full-time,Divorced,No,No,Other,No,0
4HZR7DF4SF,23,75621,200967,416,87,3,15.87,36,0.56,Master's,Self-employed,Divorced,No,No,Business,No,0
BY2DPODSME,34,31668,34665,609,5,4,3.46,36,0.47,High School,Full-time,Married,Yes,No,Auto,Yes,0
NOVDKTGNME,26,78669,178855,415,52,2,5.91,12,0.61,PhD,Unemployed,Married,Yes,Yes,Other,Yes,0
60GV35DEO5,30,125795,144517,582,39,2,5.65,12,0.13,Bachelor's,Self-employed,Divorced,Yes,No,Education,Yes,0
TH52J2BSTP,40,114555,135292,812,108,1,19.31,24,0.27,High School,Self-employed,Married,Yes,Yes,Education,No,0
IAD8RRPM86,45,62743,206312,583,62,3,7.52,36,0.29,Master's,Full-time,Single,Yes,No,Other,No,0
N423PADBRR,36,90856,5339,422,91,3,11.15,60,0.36,Bachelor's,Unemployed,Married,Yes,Yes,Auto,Yes,0
G0FCRUCOO0,37,75621,142048,813,57,3,2.82,24,0.51,PhD,Self-employed,Single,No,Yes,Auto,No,0
1ME4FD3Q18,46,57048,219257,684,118,2,7.49,48,0.29,High School,Self-employed,Single,No,Yes,Business,Yes,1
6K2PEQZS4V,26,120624,208500,774,96,3,14.31,60,0.14,Master's,Self-employed,Married,No,No,Home,No,0
3CFYJ3K7L2,24,40789,55827,727,109,2,3.2,48,0.89,Bachelor's,Full-time,Single,No,No,Home,No,0
JK7RU33NGX,67,47489,84733,322,88,3,21.98,24,0.15,Master's,Full-time,Divorced,Yes,Yes,Home,No,0
L90P5K540N,63,128226,69706,545,4,4,13.38,60,0.41,High School,Self-employed,Divorced,Yes,Yes,Auto,No,0
WSSTCCXTNS,27,56608,127297,601,1,1,23.28,24,0.82,PhD,Unemployed,Single,Yes,No,Home,No,0
92PSKEP9L5,18,133999,84405,430,6,2,4.32,48,0.78,Bachelor's,Unemployed,Divorced,Yes,No,Home,Yes,0
YPO9IU7GLX,40,62865,142304,392,50,3,6.47,60,0.55,High School,Full-time,Divorced,Yes,No,Auto,No,0
O02I5HVEXN,69,56310,187561,839,10,2,19.98,12,0.18,PhD,Self-employed,Single,No,No,Business,No,0
93FUOETNFN,33,75563,106930,352,74,3,15.93,24,0.73,PhD,Self-employed,Single,Yes,No,Education,No,0
OJJB7D8K3E,26,72486,189665,491,86,1,3.5,48,0.15,Bachelor's,Unemployed,Single,No,Yes,Education,Yes,0
IQRPTOJYRW,40,106230,188703,447,101,2,20.84,12,0.73,High School,Part-time,Divorced,No,Yes,Auto,No,0
CTTZZEPJ6Y,52,81718,196280,502,96,3,14.65,24,0.43,Bachelor's,Self-employed,Divorced,No,No,Home,No,0
1QJC4J8RCM,64,50871,211438,570,13,4,19.67,60,0.88,PhD,Part-time,Divorced,No,Yes,Other,Yes,0
3YADZ9BPMJ,55,111386,175105,717,98,1,5.69,12,0.28,Master's,Self-employed,Single,No,Yes,Home,Yes,0
60Y5L8CF2U,59,135968,194867,832,13,4,9.39,60,0.29,Bachelor's,Unemployed,Single,Yes,No,Auto,No,0
UDTE5KSOC9,62,72488,10521,800,77,4,8.61,60,0.1,High School,Full-time,Single,Yes,No,Business,Yes,0
OQ9YYEAABL,64,113061,159167,536,60,3,5.53,24,0.18,PhD,Full-time,Single,No,Yes,Home,Yes,0
4IH4ANITB0,38,69022,129147,456,41,4,24.17,12,0.82,Bachelor's,Part-time,Married,Yes,Yes,Home,No,0
UYMMZKL6SU,48,50806,236158,669,36,3,11.41,36,0.23,Bachelor's,Part-time,Married,No,No,Education,Yes,0
27YXYH704O,50,20000,61509,309,61,3,23.79,12,0.75,PhD,Part-time,Married,No,Yes,Education,Yes,0
2K65HQD6DU,21,121408,63966,760,45,3,22.39,60,0.49,PhD,Self-employed,Married,Yes,Yes,Home,No,1
JBW3UNZYVM,53,129450,235903,506,95,1,15.72,48,0.81,PhD,Full-time,Married,Yes,Yes,Auto,Yes,0
OGW5KI2URS,35,62344,95237,585,91,1,12.19,48,0.15,PhD,Self-employed,Divorced,Yes,Yes,Business,No,1
HH0ZU7IPQI,62,126604,100204,847,104,2,10.31,12,0.87,Bachelor's,Part-time,Divorced,No,No,Home,Yes,0
IPESKJ4M1E,59,29668,234899,416,95,3,2.76,12,0.22,High School,Part-time,Single,Yes,No,Auto,Yes,0
BQMDX8BR3Y,54,144428,129967,525,110,2,3.23,12,0.48,PhD,Unemployed,Married,Yes,No,Business,No,0
MCMILOINDA,58,108264,61367,453,72,3,23.96,60,0.32,PhD,Full-time,Married,Yes,No,Business,No,0
7KK5CIDKXY,40,16523,180924,690,66,4,10.8,48,0.69,Master's,Self-employed,Married,No,No,Other,No,0
Q32D8HGFUR,46,106249,63898,830,58,1,15.18,60,0.42,PhD,Part-time,Married,Yes,No,Business,No,0
657JYY33TL,26,57266,92256,777,75,4,3.77,48,0.52,High School,Part-time,Single,No,Yes,Auto,No,0
FY9AZJQQQA,33,50384,113141,525,47,1,24.72,60,0.53,Master's,Self-employed,Single,No,Yes,Other,Yes,1
GQJ5NYUZT6,28,109929,201896,768,87,1,16.65,36,0.5,High School,Full-time,Single,No,No,Business,Yes,0
QJTSKY88HK,53,137371,149667,826,43,4,15.4,12,0.67,Master's,Self-employed,Married,Yes,No,Auto,No,0
HZNWOLQ3B2,62,85200,180645,325,65,2,4.91,24,0.53,High School,Unemployed,Divorced,No,Yes,Education,Yes,0
RRAO9ZDSID,64,116457,217928,774,113,2,6.58,24,0.74,Master's,Part-time,Single,No,No,Education,Yes,0
KA7LHQ6Z8H,64,144972,169523,443,106,2,8.98,24,0.4,High School,Full-time,Married,No,No,Business,Yes,0
0E5T5U5CR6,26,143847,105146,611,91,1,8.84,36,0.44,PhD,Part-time,Married,Yes,Yes,Home,No,0
7WU764G2K0,54,24907,66175,500,73,2,3.55,36,0.88,High School,Full-time,Married,Yes,Yes,Business,Yes,0
Q89RCXMPK7,19,81532,200082,578,49,2,9.06,12,0.9,PhD,Part-time,Single,Yes,No,Other,No,0
C1SENQHJG7,40,63315,48311,341,74,4,16.97,12,0.44,Bachelor's,Unemployed,Single,Yes,Yes,Other,No,0
I4BFBTJZMO,25,119254,53755,436,53,1,23.51,36,0.21,High School,Unemployed,Single,Yes,No,Other,No,0
F5INK2QPOF,54,133716,12032,642,13,2,15.74,48,0.8,High School,Unemployed,Divorced,No,No,Home,Yes,0
IKKJJZXX20,61,147962,25197,453,65,2,16.04,60,0.89,Master's,Part-time,Single,Yes,Yes,Home,No,0
THQEKVUMMW,55,148090,117361,481,77,3,11.85,48,0.14,PhD,Unemployed,Single,No,Yes,Other,Yes,0
YO92LE7FD0,59,101331,24320,393,14,4,14.79,36,0.27,Bachelor's,Full-time,Divorced,No,Yes,Home,No,0
57WRAMJLBW,30,75871,238625,483,105,4,14.05,36,0.23,High School,Full-time,Divorced,Yes,No,Other,No,0
HMWIGZ96GH,62,115327,106146,757,87,1,13.95,60,0.85,Bachelor's,Part-time,Divorced,No,No,Business,No,0
SL15HCDOBU,53,65259,8585,387,23,4,3.32,48,0.44,Bachelor's,Unemployed,Married,Yes,No,Other,Yes,0
TJUQIKSK5D,42,126306,168248,748,63,4,11.06,36,0.81,High School,Part-time,Married,Yes,No,Other,No,0
E09RG2Y25Q,57,106234,139692,376,89,2,17.79,60,0.16,Bachelor's,Part-time,Married,Yes,No,Other,Yes,0
JMR4H6CJK9,51,110191,178693,341,62,1,2.44,60,0.79,PhD,Part-time,Married,No,Yes,Home,No,0
L3YW69DEOY,60,52302,38451,315,82,1,24.65,60,0.82,PhD,Full-time,Married,No,No,Education,Yes,0
NOTTS69IP9,29,17815,137410,768,17,1,2.57,48,0.7,Bachelor's,Full-time,Divorced,Yes,Yes,Auto,Yes,0
YPBDGGRZXK,19,27253,205123,715,95,1,24.72,24,0.42,Bachelor's,Self-employed,Divorced,No,Yes,Home,No,1
RXUI3JV3NF,31,53746,21050,637,54,2,4.7,60,0.55,Master's,Unemployed,Single,No,Yes,Other,No,0
M2Z7YFOTGM,25,116069,26983,356,112,2,23.96,12,0.16,Bachelor's,Unemployed,Married,Yes,No,Home,No,0
TUV72L83SB,51,18245,108299,734,79,3,16.36,36,0.73,PhD,Self-employed,Divorced,No,Yes,Home,Yes,0
JU8T5F98TY,46,96445,146384,469,95,4,4.3,60,0.47,Master's,Full-time,Divorced,Yes,Yes,Auto,No,0
ZZLQXK8J31,69,19169,173829,716,1,2,21.34,36,0.59,Bachelor's,Unemployed,Single,Yes,No,Other,Yes,0
HRNN8XLWP0,24,17811,59138,649,82,2,16.17,24,0.27,PhD,Full-time,Single,No,Yes,Other,Yes,0
C69VEUMPEV,29,84177,102199,448,24,2,6.67,48,0.87,High School,Self-employed,Married,Yes,Yes,Auto,Yes,0
GSLN7A14JM,45,86578,215109,465,28,4,11.93,36,0.14,Master's,Self-employed,Married,Yes,Yes,Auto,No,1
U7SXF546O6,40,141235,79559,712,15,2,6.35,36,0.14,Master's,Self-employed,Single,Yes,Yes,Education,No,0
Q4K8BNZQ4B,25,133247,7999,636,95,2,4.13,48,0.85,Master's,Self-employed,Married,No,Yes,Business,Yes,0
D8NJGUEDC5,49,103918,186891,372,31,1,13.34,60,0.37,Bachelor's,Full-time,Married,Yes,No,Home,No,0
7CWZGA079E,22,91719,236882,438,45,1,16.93,48,0.39,Bachelor's,Full-time,Divorced,Yes,Yes,Home,Yes,0
ZDKC8PGNC9,54,61847,38089,633,58,1,17.17,24,0.82,High School,Full-time,Divorced,No,No,Auto,No,0
VVIML34SGE,18,30675,60048,492,43,1,21.15,12,0.21,PhD,Full-time,Divorced,Yes,No,Home,No,1
OMCE1V0KE7,24,87536,5434,304,28,2,4.17,36,0.21,High School,Unemployed,Married,No,Yes,Education,Yes,0
TA9DKRWEIT,21,130030,45661,348,85,2,18.14,60,0.24,High School,Part-time,Divorced,No,Yes,Auto,Yes,1
KMXXXH81ZX,41,46638,12886,338,49,4,23.13,36,0.19,Master's,Self-employed,Married,Yes,No,Other,Yes,0
67GR77YWZB,32,146223,20090,781,62,1,12.53,48,0.11,Master's,Part-time,Married,Yes,Yes,Business,No,0
ID08TZZEC0,69,52815,84101,368,69,1,23.49,24,0.78,PhD,Full-time,Single,No,No,Other,No,0
POFYDQ0ZVS,46,105202,222562,527,14,4,14.14,60,0.46,Master's,Self-employed,Married,No,Yes,Other,No,0
PH8MNBNTLE,39,15395,149569,663,34,1,21.37,60,0.62,Bachelor's,Self-employed,Single,Yes,No,Education,Yes,0
E0DYI55SA2,36,136670,246793,686,103,4,20.92,24,0.12,PhD,Self-employed,Single,No,Yes,Other,No,0
4F2OSEHYVS,41,118830,176414,720,16,2,10.39,36,0.6,PhD,Self-employed,Single,Yes,No,Other,No,0
1BQUCTHIFE,60,59919,60064,412,70,1,20.95,12,0.16,Bachelor's,Part-time,Married,No,No,Education,Yes,0
TS299RT4S9,49,46559,49718,518,1,1,2.22,48,0.63,Bachelor's,Part-time,Married,Yes,No,Business,Yes,0
WVKPPAHHLN,40,140843,179190,641,85,1,19.72,36,0.71,Bachelor's,Self-employed,Single,Yes,Yes,Auto,Yes,0
B9MYD55EZ0,48,17040,242851,590,43,2,4.59,36,0.67,Bachelor's,Unemployed,Married,Yes,Yes,Business,No,1
YTW90N0DN2,45,18379,216791,839,4,2,14.24,24,0.8,High School,Part-time,Married,No,No,Business,Yes,1
09R8FPQCYG,20,112511,84216,581,95,2,23.28,60,0.12,Master's,Self-employed,Single,No,No,Education,Yes,0
5Z8AJJHJ86,43,125340,232680,813,117,2,7.64,36,0.24,PhD,Part-time,Divorced,Yes,Yes,Auto,No,0
YSZZOJQNXJ,35,72332,186024,660,27,3,13.08,36,0.46,Master's,Part-time,Divorced,No,Yes,Business,Yes,1
S5FVQMQ98K,19,148570,14132,740,82,2,6.44,60,0.39,Bachelor's,Full-time,Divorced,No,Yes,Auto,No,0
QIGB8GLCQ8,27,66168,197610,614,112,4,13.2,36,0.81,Bachelor's,Full-time,Single,Yes,Yes,Business,No,0
44M1N71LZN,38,45230,32488,632,56,3,24.09,60,0.36,PhD,Unemployed,Married,No,Yes,Education,No,0
N59JERMP2R,47,138542,243222,480,69,2,9.75,48,0.55,PhD,Part-time,Single,No,Yes,Education,Yes,0
2AJ662KFOB,43,132605,144582,301,58,1,4.87,60,0.34,PhD,Self-employed,Divorced,No,No,Home,Yes,0
WUAZOW3UPY,40,121485,231699,596,30,1,10.28,36,0.15,Bachelor's,Full-time,Married,Yes,No,Education,Yes,0
5EBJMWIM1A,60,75746,248547,303,52,2,24.97,24,0.35,PhD,Unemployed,Single,No,No,Auto,No,1
941FLVAFZB,19,85480,90956,401,26,3,6.4,60,0.17,PhD,Part-time,Divorced,Yes,Yes,Auto,Yes,0
XMXXUEHHNH,38,43609,153952,689,27,4,23.99,48,0.41,PhD,Part-time,Single,No,No,Education,Yes,1
K1ZLEWQL07,22,91579,29504,335,105,3,23.54,48,0.16,High School,Part-time,Married,Yes,Yes,Business,Yes,0
D7MA51MHR9,29,16823,229661,676,61,2,21.13,36,0.51,Master's,Part-time,Divorced,No,No,Business,No,0
8XY9CDE0MH,67,138234,202547,398,112,4,7.54,12,0.64,Bachelor's,Part-time,Married,Yes,Yes,Education,No,0
0PLZ0WC1KS,52,116542,59904,674,44,2,4.42,12,0.86,PhD,Part-time,Single,No,Yes,Education,Yes,0
KA82N5JB46,36,124726,48643,633,27,2,9.17,36,0.6,PhD,Full-time,Single,No,No,Home,No,0
2NQJWGVR3K,38,101842,222675,822,113,2,15.9,48,0.7,PhD,Full-time,Divorced,No,Yes,Education,No,0
23RZGCNWWW,33,78631,106952,414,61,4,10.97,24,0.67,High School,Self-employed,Divorced,No,No,Auto,No,0
Z1B5F6N0I2,43,22430,162939,415,87,1,18.11,24,0.49,High School,Full-time,Divorced,Yes,Yes,Education,Yes,0
NUOGXBQMYS,21,36131,217111,435,60,3,15.58,36,0.78,Master's,Part-time,Married,No,No,Education,Yes,0
G2D2XQF91W,28,132788,29716,612,70,1,12.61,48,0.87,PhD,Unemployed,Single,Yes,Yes,Business,Yes,0
YKZBLVCLWM,63,69133,211546,362,32,3,3.53,48,0.48,Master's,Self-employed,Married,No,No,Business,No,0
886TAVNC8E,61,103613,82406,845,89,1,12.09,36,0.21,Master's,Unemployed,Married,Yes,Yes,Education,Yes,0
M0ZUTTB9JO,65,127277,17337,696,17,4,21.8,24,0.86,PhD,Unemployed,Married,Yes,Yes,Home,Yes,0
6FQ2VHMAXO,64,113144,186964,764,83,1,2.4,36,0.83,Master's,Part-time,Single,No,No,Business,No,0
6DXSOX4E4W,49,120824,201085,710,84,1,14.16,12,0.76,PhD,Unemployed,Single,No,Yes,Home,Yes,0
3UOVV2UW64,50,91312,227446,302,34,1,2.11,12,0.18,PhD,Part-time,Married,Yes,No,Home,No,0
PVKYDP4PS9,48,90895,205917,338,76,2,14.54,12,0.14,Bachelor's,Full-time,Divorced,Yes,No,Other,Yes,0
ISNYJUTU3P,30,54499,182901,445,68,4,8.58,24,0.17,High School,Unemployed,Single,No,No,Education,Yes,0
GA6IMMMPIV,62,80213,108586,526,61,4,24.62,24,0.55,Bachelor's,Self-employed,Divorced,Yes,Yes,Other,Yes,0
572W4TY6VN,24,79867,30213,666,66,1,22.59,36,0.4,PhD,Unemployed,Single,No,Yes,Other,Yes,1
S31SI2KCGO,35,141122,25375,846,45,2,4.96,36,0.11,High School,Full-time,Married,Yes,Yes,Other,Yes,0
CNPEBTFIKI,46,87602,168965,743,20,4,19.33,60,0.29,Bachelor's,Part-time,Single,No,No,Auto,No,0
W1YNWJF6QI,38,28888,146884,577,43,1,20.5,24,0.33,PhD,Part-time,Married,No,Yes,Education,Yes,0
AE4KTPS460,31,122627,127227,341,28,4,19.57,36,0.47,High School,Part-time,Married,No,No,Auto,No,0
R6PHOI0R1K,57,65684,55340,696,100,2,16.37,24,0.79,High School,Part-time,Single,Yes,Yes,Home,No,0
10ZN4J4IC0,64,135257,249094,764,119,2,8.81,24,0.38,High School,Part-time,Divorced,Yes,No,Home,No,0
48501I4578,38,90026,85781,728,84,1,19.95,36,0.7,Bachelor's,Unemployed,Married,Yes,No,Education,Yes,0
FBL46P1OUM,56,112408,239798,417,115,1,21.09,12,0.27,Master's,Unemployed,Single,Yes,Yes,Education,Yes,0
W54MGUX8VX,57,50977,46412,728,115,2,20.39,48,0.4,Bachelor's,Unemployed,Divorced,Yes,No,Business,Yes,0
NJAQ97TCI6,48,49697,164971,405,35,1,8.74,36,0.5,Master's,Full-time,Divorced,Yes,No,Home,No,0
9J8RZQO3SB,42,79778,214078,783,100,2,9.61,36,0.84,High School,Part-time,Divorced,No,No,Other,No,0
O4FMKUVOVW,65,21466,109841,761,59,1,21.95,36,0.83,Master's,Full-time,Divorced,Yes,No,Home,Yes,0
4066OHTN9A,61,134076,140885,602,6,2,22.89,60,0.84,Master's,Unemployed,Divorced,No,Yes,Other,Yes,0
0A6BF0E6SX,20,84188,144900,369,20,2,2.63,60,0.42,Master's,Self-employed,Single,No,Yes,Education,No,0
I9VA24IXBG,37,148714,81758,426,24,2,24.07,60,0.41,High School,Full-time,Married,No,No,Home,Yes,0
NRB7LM2MAR,26,97304,199034,470,2,4,11.18,36,0.41,High School,Full-time,Married,No,Yes,Business,No,0
060BZPJDZE,62,72330,163516,836,90,3,2.94,36,0.24,High School,Part-time,Divorced,Yes,No,Business,No,0
